state,date_posted_dt,postings
"California, USA",2025-04-03,1
"California, USA",2025-04-27,1
"California, USA",2025-04-30,1
"California, USA",2025-08-03,1
"California, USA",2025-08-24,1
"California, USA",2025-08-25,1
"California, USA",2025-08-26,3
"California, USA",2025-08-27,20
"California, USA",2025-08-28,18
"Florida, USA",2025-07-24,1
"Florida, USA",2025-08-07,1
"Florida, USA",2025-08-24,1
"Florida, USA",2025-08-26,4
"Florida, USA",2025-08-27,18
"Florida, USA",2025-08-28,14
"Florida, USA",2025-08-29,3
"Illinois, USA",2025-08-20,1
"Illinois, USA",2025-08-24,1
"Illinois, USA",2025-08-25,4
"Illinois, USA",2025-08-26,11
"Illinois, USA",2025-08-27,18
"Illinois, USA",2025-08-28,8
"New York, USA",2025-07-22,1
"New York, USA",2025-08-03,1
"New York, USA",2025-08-17,1
"New York, USA",2025-08-21,1
"New York, USA",2025-08-24,1
"New York, USA",2025-08-25,1
"New York, USA",2025-08-26,14
"New York, USA",2025-08-27,16
"New York, USA",2025-08-28,9
"New York, USA",2025-08-29,1
"Texas, USA",2025-01-21,1
"Texas, USA",2025-02-11,1
"Texas, USA",2025-04-15,1
"Texas, USA",2025-04-17,1
"Texas, USA",2025-06-10,1
"Texas, USA",2025-07-13,1
"Texas, USA",2025-07-15,1
"Texas, USA",2025-07-24,1
"Texas, USA",2025-07-30,1
"Texas, USA",2025-07-31,1
"Texas, USA",2025-08-03,2
"Texas, USA",2025-08-19,2
"Texas, USA",2025-08-24,2
"Texas, USA",2025-08-25,1
"Texas, USA",2025-08-27,3
"Texas, USA",2025-08-28,22
"Texas, USA",2025-08-29,1
"Washington, USA",2025-01-21,2
"Washington, USA",2025-02-11,3
"Washington, USA",2025-02-27,1
"Washington, USA",2025-03-30,1
"Washington, USA",2025-04-03,1
"Washington, USA",2025-04-17,2
"Washington, USA",2025-04-27,1
"Washington, USA",2025-04-30,1
"Washington, USA",2025-06-03,1
"Washington, USA",2025-06-10,1
"Washington, USA",2025-06-12,1
"Washington, USA",2025-06-16,3
"Washington, USA",2025-07-13,2
"Washington, USA",2025-07-15,1
"Washington, USA",2025-07-20,2
"Washington, USA",2025-07-30,1
"Washington, USA",2025-08-03,1
"Washington, USA",2025-08-24,3
"Washington, USA",2025-08-25,4
"Washington, USA",2025-08-26,9
"Washington, USA",2025-08-27,3
"Washington, USA",2025-08-28,4
