title,company,location,state,date_posted,job_type,salary,is_remote,job_url_direct,_is_entry,_is_remote_yes,_date
Data Services Analyst,Real Time Resolutions Inc,"Dallas, TX, US","Texas, USA",2025-08-29,fulltime,56000.0,Yes,http://www.indeed.com/job/data-services-analyst-ea9c995e9d7dac5d,False,True,2025-08-29
Business Intelligence  Strategy Analyst,McKesson,"Irving, TX, US","Texas, USA",2025-08-28,Unknown,147050.0,No,https://careers.mckesson.com/en/job/-/-/733/85568404272,False,False,2025-08-28
Data Analytics Lead Analyst  Vice President,Information Technology Senior Management Forum,"Irving, TX, US","Texas, USA",2025-08-28,fulltime,157200.0,No,https://jobs.itsmfleaders.org/job/8e438e/data-analytics-lead-analyst-vice-president/irving/tx,False,False,2025-08-28
IT Business Analyst,Firefly Aerospace,"Cedar Park, TX, US","Texas, USA",2025-08-28,fulltime,103106.5,No,https://firefly.hrmdirect.com/employment/view.php?req=3506469&jbsrc=1014&location=0dfda81b-6879-da33-d79a-5b3f12789446,False,False,2025-08-28
Systems Analyst 3 529601519,LMG Technology Services LLC,"Austin, TX, US","Texas, USA",2025-08-28,Unknown,126796.5,Yes,https://ht-jobs.net/vo8ue7s?s=in,False,True,2025-08-28
IT Enterprise Reporting  Senior Data Analyst,LPL Financial,"Austin, TX, US","Texas, USA",2025-08-28,Unknown,115050.0,No,https://career.lpl.com/job/R-045779/IT-Enterprise-Reporting-Senior-Data-Analyst,False,False,2025-08-28
Business Analyst Intern,Kratos Defense,"Plano, TX, US","Texas, USA",2025-08-28,internship,42880.5,No,https://kratosdefense.submit4jobs.com/index.cfm?fuseaction=85347.viewjobdetail&CID=85347&JID=365826&source=Indeed&utm_source=Indeed&utm_medium=IndeedFreePost,False,False,2025-08-28
Program Controls Analyst,Freese and Nichols,"Fort Worth, TX, US","Texas, USA",2025-08-28,Unknown,89106.0,Yes,https://freese.wd1.myworkdayjobs.com/en-US/Freese_Nichols_External/job/Fort-Worth-Texas/Program-Controls-Analyst_JR103062,False,True,2025-08-28
Analytics Analyst I,BigCommerce,"Austin, TX, US","Texas, USA",2025-08-28,fulltime,70500.0,No,https://bigcommerce.wd12.myworkdayjobs.com/en-US/Commerce/job/Austin-TX/Analytics-Analyst-I_JR102266,False,False,2025-08-28
Senior Accessibility Analyst Workplace Investing,Fidelity Investments,"Westlake, TX, US","Texas, USA",2025-08-28,Unknown,107876.5,No,https://jobs.fidelity.com/en/jobs/2115264/senior-accessibility-analyst-workplace-investing/,False,False,2025-08-28
Staffing Analyst  Full Time  Day,Houston Methodist,"Houston, TX, US","Texas, USA",2025-08-28,fulltime,49639.0,No,https://click.appcast.io/t/UbwfVhGKLNH4Chcehri4NmjOyCNc1AlQ9BVTw46Lc48=,False,False,2025-08-28
Access Center Workforce Management Analyst,Houston Methodist,"Katy, TX, US","Texas, USA",2025-08-28,fulltime,69760.0,No,https://click.appcast.io/t/F0Bn2BBbMryggDhElLRNVjMAnzBhLSmhQlv7wAcl8uA=,False,False,2025-08-28
EDI Analyst,McLane Global,"Houston, TX, US","Texas, USA",2025-08-28,fulltime,65000.0,No,https://apply.workable.com/j/0ED40F8D06,False,False,2025-08-28
Data Analyst IV,Texas Health and Human Services Commission,"Austin, TX, US","Texas, USA",2025-08-28,fulltime,6129.5,No,https://careers.hhs.texas.gov/dfpsjobs/job/AUSTIN-Data-Analyst-IV-TX-73301/1321542300/,False,False,2025-08-28
Institutional Research Analyst I,Sam Houston State University,"Huntsville, TX, US","Texas, USA",2025-08-28,fulltime,33852.5,No,https://shsu.peopleadmin.com/postings/44723,False,False,2025-08-28
Analyst Product Data,Celestica,"Richardson, TX, US","Texas, USA",2025-08-28,Unknown,63475.5,No,https://careers.celestica.com/job/Richardson-Analyst%2C-Product-Data-TX-75080/1242274401/,False,False,2025-08-28
Cyber Threat Intelligence Analyst,"AIG Employee Services, Inc.","Houston, TX, US","Texas, USA",2025-08-28,fulltime,96107.0,No,https://aig.wd1.myworkdayjobs.com/aig/job/NC-Charlotte/Cyber-Threat-Intelligence-Analyst_JR2503606,False,False,2025-08-28
Senior Analyst Commercial Strategy,JSX,"Dallas, TX, US","Texas, USA",2025-08-28,fulltime,80000.0,No,https://recruiting2.ultipro.com/JET1001JETS/JobBoard/83d73bc0-3085-4441-a386-dd79dcc22eb0/OpportunityDetail?opportunityId=159aefab-c6c7-4e25-a22e-32579b5ee3a5&postingId=6121d1b6-6895-4e40-bfd1-3f756d8ac096,False,False,2025-08-28
